Review_index,Review_sentence,Review_affordance,-,Rebuttal_index,Rebuttal_sentence,Related_to,Relation
V0,,,,B0,b'We thank the reviewer for such a detailed feedback .',,
V1,b'-------------',,,B1,"b'We have conducted additional experiments to address the concerns raised about the evaluation , and we clarify specific points below .'",,
V2,,,,B2,"b'We believe that these additions address all of your concerns about the work , though we would appreciate any additional comments or feedback that you might have .'",,
V3,b'Summary',,,B3,b'We acknowledge that the paper was certainly lacking polish and accept that this may have made the paper difficult to read in places .',,
V4,,,,B4,"b""We have uploaded a revised version in which we have revised the problem statement and writing as per the reviewer 's suggestions .""",,
V5,b'-------------',,,B5,b'We briefly summarize the key idea of the paper and then address the specific concerns .',,
V6,,,,B6,,,
V7,b'The authors propose to train a policy while concurrently learning a dynamics model .',,,B7,,,
V8,"b'In particular , the policy is updated using both the RL loss ( rewards from the environment ) and the "" consistency constraint "" , which the authors introduce .'",,,B8,b'What is the idea ?',,
V9,"b'This consistency constraint is a supervised learning signal , which compares trajectories in the environment with trajectories in the imagined world ( produced with the dynamics model ) .'",,,B9,,,
V10,,,,B10,b'========',,
V11,,,,B11,,,
V12,b'---------------------',,,B12,,,
V13,,,,B13,b'Our goal is to provide a mechanism for the agent to lean a better dynamics model as well as more powerful policy by ensuring the consistency in their predictions ( such that predictions from the model are grounded in the real environment ) .',,
V14,b'Main Feedback',,,B14,,,
V15,,,,B15,,,
V16,b'---------------------',,,B16,b'This mechanism enables the agent to have a direct \xe2\x80\x9c interaction \xe2\x80\x9d b/w the agent \xe2\x80\x99s policy and its dynamics model .',,
V17,,,,B17,"b'This interaction is different from the standard approaches in reinforcement learning where the agent uses the policy to sample trajectories over which the agent is trained , and then use these sampled trajectories to learn the dynamics model .'",,
V18,"b'I feel like there might be some interesting ideas in this work , and the results suggest that this approach performs well .'",,,B18,"b'In those cases , there is no ( direct ) mechanism for the dynamics model to affect the policy , and hence there is no \xe2\x80\x9c direct interaction \xe2\x80\x9d between the policy and the dynamics model .'",,
V19,"b'However , I had a difficult time understanding how exactly the method works , and what its advantages are .'",,,B19,"b'In our case , both the policy and the model are trained jointly while making sure that the predictions from the dynamics model are consistent with the observation from the environment .'",,
V20,b'These are my main questions :',,,B20,b'This provides a mechanism where learning a model can itself change the policy ( thus \xe2\x80\x9c interacting \xe2\x80\x9d with the environment ) instead of just training on the data coming from a policy which is trained independently of how well the model performs on the collected .',,
V21,,,,B21,,,
V22,,,,B22,,,
V23,"b'1 ) At the beginning of Section 4 the authors write "" The learning agent has two pathways for improving its behaviour : ( ... ) ( ii ) the open loop path , where it imagines taking actions and hallucinates the state transitions that could happen "" .'",,,B23,b'A practical instantiation of this idea is the consistency loss where we ensure consistency between the predictions from the dynamics model and the actual observations from the environment and this simple baseline works surprisingly well compared to the state of the art methods ( as demonstrated by our experiments ) and that others have not tried it before .',,
V24,b'Do you actually do this ?',,,B24,b'Applying consistency constraint means we have two learning signals for the policy :',,
V25,b'This is not mentioned in anywhere .',,,B25,b'The one from the reinforcement learning loss ( i.e maximize return ) and the other due to consistency constraint .',,
V26,"b'And as far as I understand , the reward function is not learned - hence there will be no training signal in the open loop path .'",,,B26,b'We show that adding the proposed consistency constraint helps the agent to learn better dynamics model and as well as better policy for both observation space models and state space models .',,
V27,b'Does the reward signal always come from the true environment ?',,,B27,b'We compare against strong baselines :',,
V28,,,,B28,,,
V29,b'2 ) Is the dynamics model used for anything else than action-selection during training ?',,,B29,,,
V30,b'Planning ?',,,B30,b'Hybrid model - based and model - free ( Mb - Mf ) algorithm ( Nagabandi et al [ 1 ] )',,
V31,"b""If not , I do n't really understand the results and why this works at all ( k=20 being better than k=5 , for example ) .""",,,B31,,,
