Review_index,Review_sentence,Review_affordance,-,Rebuttal_index,Rebuttal_sentence,Related_to,Relation
V0,b'--- Below is based on the original paper ---',,,B0,b'We thank the reviewer for the feedback .',,
V1,,,,B1,"b'We have conducted additional experiments to address the concerns raised about the evaluation , and we clarify specific points below .'",,
V2,"b'This paper presents a framework that allows the agent to learn from its observations , but never follows through on the motivation of experimentation --- taking actions mainly for the purpose of learning an improved dynamics model .'",,,B2,"b'We believe that these additions address all of your concerns about the work , though we would appreciate any additional comments or feedback that you might have .'",,
V3,"b'All of their experiments merely take actions that are best according to the usual model - based or model - free methods , and show that their consistency constraint allows them to learn a better dynamics model , which is not at all surprising .'",,,B3,b'We acknowledge that the paper was certainly lacking polish and accept that this may have made the paper difficult to read in places .',,
V4,"b'They do not even allow for the type of experimentation that has been done in reinforcement learning for as long as it has been around , which is to allow exploration by artificially increasing the reward for the first few times that each state is visited .'",,,B4,"b""We have uploaded a revised version in which we have revised the problem statement and writing as per the reviewer 's suggestions .""",,
V5,b'That would be a good baseline against which to compare their method .',,,B5,b'We briefly summarize the key idea of the paper and then address the specific concerns .',,
V6,,,,B6,,,
V7,,,,B7,,,
V8,b'Overall :',,,B8,b'What is the idea ?',,
V9,,,,B9,,,
V10,b'Pros :',,,B10,b'========',,
V11,,,,B11,,,
V12,b'1 .',,,B12,,,
V13,b'Clear writing',,,B13,b'Our goal is to provide a mechanism for the agent to lean a better dynamics model as well as more powerful policy by ensuring the consistency in their predictions ( such that predictions from the model are grounded in the real environment ) .',,
V14,,,,B14,,,
V15,b'2 . Good motivation description .',,,B15,,,
V16,,,,B16,b'This mechanism enables the agent to have a direct \xe2\x80\x9c interaction \xe2\x80\x9d b/w the agent \xe2\x80\x99s policy and its dynamics model .',,
V17,,,,B17,"b'This interaction is different from the standard approaches in reinforcement learning where the agent uses the policy to sample trajectories over which the agent is trained , and then use these sampled trajectories to learn the dynamics model .'",,
V18,b'Cons :',,,B18,"b'In those cases , there is no ( direct ) mechanism for the dynamics model to affect the policy , and hence there is no \xe2\x80\x9c direct interaction \xe2\x80\x9d between the policy and the dynamics model .'",,
V19,,,,B19,"b'In our case , both the policy and the model are trained jointly while making sure that the predictions from the dynamics model are consistent with the observation from the environment .'",,
V20,b'1 .',,,B20,b'This provides a mechanism where learning a model can itself change the policy ( thus \xe2\x80\x9c interacting \xe2\x80\x9d with the environment ) instead of just training on the data coming from a policy which is trained independently of how well the model performs on the collected .',,
V21,b'Failed to connect presented work with the motivation .',,,B21,,,
V22,,,,B22,,,
V23,b'2 .',,,B23,b'A practical instantiation of this idea is the consistency loss where we ensure consistency between the predictions from the dynamics model and the actual observations from the environment and this simple baseline works surprisingly well compared to the state of the art methods ( as demonstrated by our experiments ) and that others have not tried it before .',,
V24,b'No comparison against known methods for exploration .',,,B24,b'Applying consistency constraint means we have two learning signals for the policy :',,
V25,,,,B25,b'The one from the reinforcement learning loss ( i.e maximize return ) and the other due to consistency constraint .',,
V26,,,,B26,b'We show that adding the proposed consistency constraint helps the agent to learn better dynamics model and as well as better policy for both observation space models and state space models .',,
V27,,,,B27,b'We compare against strong baselines :',,
V28,b'---- Below is based on the revision ---',,,B28,,,
V29,,,,B29,,,
V30,,,,B30,b'Hybrid model - based and model - free ( Mb - Mf ) algorithm ( Nagabandi et al [ 1 ] )',,
V31,b'Thanks to the reviewers for making the paper much clearer .',,,B31,,,
V32,b'I have no particular issues on the items that are in the paper .',,,B32,b'Learning and Querying Fast Generative Models for Reinforcement Learning ( Buesing et al [ 2 ] ) - This is a state - of - the - art model for state space models .',,
V33,"b'However , subsections 7.2.1 and 7.2.2 are missing .'",,,B33,,,
V34,,,,B34,,,
,,,,B35,b'Our evaluation protocol considers a total of 7 environments and we show that using the consistency constraint leads to better generative models ( in terms of log likelihood ) and more powerful policy ( average return ) for all the cases .',,
,,,,B36,b'All the experiments are averaged over 3 random seeds and are plotted with 1 standard deviation interval .',,
,,,,B37,,,
,,,,B38,,,
,,,,B39,b'Our key contribution is the proposal of using the consistency loss which helps to learn more powerful policy and better dynamics model ( as demonstrated over different tasks ) while being very easy to integrate with existing model - based RL approaches .',,
